OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Sales,Profit
1,2024-05-26,85,17,2,6511,13022,1330.97
2,2023-07-19,28,4,3,1706,5118,1111.15
3,2024-10-25,45,6,1,3767,3767,531.91
4,2023-09-03,41,30,8,2322,18576,4209.75
5,2024-02-28,199,36,9,6660,59940,13454.89
6,2023-07-25,1,2,2,4835,9670,1676.59
7,2023-04-19,127,19,5,6656,33280,5921.02
8,2023-08-25,124,17,7,6511,45577,9575.08
9,2024-02-14,113,6,6,3767,22602,3295.64
10,2024-11-05,185,39,1,6677,6677,752.45
11,2024-10-31,96,38,4,7055,28220,4254.32
12,2024-12-14,117,6,1,3767,3767,955.57
13,2023-06-08,5,26,4,1686,6744,1815.8
14,2023-12-28,76,13,5,5255,26275,5603.51
15,2024-05-10,51,30,7,2322,16254,4181.43
16,2024-05-16,12,18,1,378,378,100.97
17,2023-11-04,198,40,2,7260,14520,3687.35
18,2023-02-21,188,19,4,6656,26624,6927.62
19,2023-08-24,154,33,9,2206,19854,2151.77
20,2024-05-10,86,3,1,4080,4080,692.72
21,2023-06-21,158,9,4,648,2592,474.22
22,2023-10-20,16,38,3,7055,21165,4250.79
23,2023-01-15,99,39,2,6677,13354,2168.75
24,2024-03-08,112,12,8,5742,45936,4803.87
25,2023-08-27,24,9,1,648,648,133.19
26,2024-12-25,101,31,1,7127,7127,1551.17
27,2023-09-06,63,31,6,7127,42762,7009.01
28,2024-09-27,78,3,4,4080,16320,4245.37
29,2024-12-04,116,19,3,6656,19968,2188.29
30,2023-04-12,171,13,8,5255,42040,10768.83
31,2023-09-29,170,7,4,2964,11856,2129.62
32,2023-09-24,152,15,6,6858,41148,9013.21
33,2024-11-29,140,37,6,3113,18678,4463.81
34,2023-09-11,175,23,9,1384,12456,1869.95
35,2023-09-20,171,18,7,378,2646,676.89
36,2023-05-10,10,22,4,6884,27536,3425.45
37,2024-12-11,27,1,6,2919,17514,2206.67
38,2024-04-08,81,33,2,2206,4412,1180.0
39,2024-10-07,87,35,7,5681,39767,10278.64
40,2023-06-06,19,5,8,2643,21144,4684.3
41,2023-05-08,17,14,2,7632,15264,3816.53
42,2024-01-29,146,26,5,1686,8430,901.71
